"Magic Item", "Rarity", "Attune", "Weight", "Value",
"Adamantine Armor", "U", "N", "varies", "500 gp",
"Adze of Annam", "A", "Y", "7 lb.", "150,000 gp",
"Alchemy Jug", "U", "N", "12 lb.", "6,000 gp",
"All or Nothing Coin", "C", "N", "—", "50 gp", 
"Amethyst Lodestone", "V", "Y", "1 lb.", "120,000 gp",
"Ammunition +1", "U", "N", "0.05 lb.", "25 gp", 
"Ammunition +2", "R", "N", "0.05 lb.", "100 gp",
"Ammunition +3", "V", "N", "0.05 lb.", "400 gp",
"Amulet of Anti-Hangovers", "C", "N", "1 lb.", "50 gp",
"Amulet of Health", "R", "Y", "1 lb.", "8,000 gp",
"Amulet of Proof Against Detection and Location", "U", "Y", "1 lb.", "20,000 gp"
